vehiculo,anio,estado,promedio_calificacion,n_resenas
Tesla Model S 70D,2015,Usado,4.95,537
Acura TLX A-Spec,2020,Acura Certified,4.94,135
BMW 530 i,2022,Nuevo,4.94,332
BMW 228 Gran Coupe i xDrive,2021,BMW Certified,4.94,696
BMW M3 Base,2012,Usado,4.94,313
Chevrolet Trailblazer RS,2023,Nuevo,4.94,368
Dodge Charger Scat Pack,2022,Nuevo,4.94,385
Dodge Durango GT,2018,Usado,4.94,104
Hyundai Kona SEL,2019,Usado,4.94,436
Hyundai Santa Fe SE Ultimate,2017,Usado,4.94,352
Hyundai Santa Fe Limited,2021,Usado,4.94,47
Hyundai Kona EV Limited,2023,Nuevo,4.94,589
INFINITI FX45 w/Options,2003,Usado,4.94,286
INFINITI QX80 Luxe,2019,Usado,4.94,473
INFINITI Q60 LUXE,2022,Nuevo,4.94,567
Porsche Macan S,2021,Usado,4.94,61
Tesla Model Y Long Range,2021,Usado,4.94,326
Tesla Model S 70D,2015,Usado,4.94,644
Acura ILX Technology Package,2020,Usado,4.93,659
BMW M340 i,2023,Nuevo,4.93,99
BMW 328d Base,2018,Usado,4.93,331
Chevrolet Equinox LS,2023,Nuevo,4.93,343
Chevrolet Express 3500 LT,2020,Usado,4.93,774
Chevrolet Tahoe Premier,2023,Nuevo,4.93,492
Chevrolet Tahoe Premier,2021,Usado,4.93,248
Dodge Challenger GT,2023,Nuevo,4.93,506
Dodge Journey SE Value,2020,Usado,4.93,353
Hyundai IONIQ 5 Limited,2022,Usado,4.93,420
INFINITI QX50 Luxe,2023,INFINITI Certified,4.93,174
INFINITI QX50 ESSENTIAL,2019,INFINITI Certified,4.93,594
Lexus RX 350 350,2016,Usado,4.93,524
Lexus RX 350 350,2017,Usado,4.93,418
Mercedes-Benz AMG GLE 63 S,2023,Nuevo,4.93,648
Mercedes-Benz Sprinter 3500XD High Roof,2022,Nuevo,4.93,625
Mercedes-Benz S-Class S 500 4MATIC,2023,Nuevo,4.93,239
Porsche Cayenne S,2005,Usado,4.93,545
Tesla Model 3 Performance,2019,Usado,4.93,624
Acura RDX A-Spec,2023,Nuevo,4.92,458
Acura RDX Technology Package,2022,Nuevo,4.92,145
Acura MDX Sport Hybrid 3.0L w/Technology Package,2020,Acura Certified,4.92,642
BMW 328 i xDrive,2010,Usado,4.92,630
Chevrolet Camaro SS,2023,Nuevo,4.92,569
Chevrolet Suburban Premier,2023,Nuevo,4.92,67
Chevrolet Silverado 2500 LTZ,2022,Nuevo,4.92,793
Chevrolet Silverado 2500 High Country,2022,Nuevo,4.92,690
Chevrolet Traverse LS,2020,Usado,4.92,211
Chevrolet Equinox LS,2022,Usado,4.92,656
Dodge Challenger SXT,2022,Nuevo,4.92,772
Dodge Challenger R/T,2022,Nuevo,4.92,559
Hyundai Kona SEL,2023,Nuevo,4.92,292
INFINITI QX60 SENSORY,2023,Nuevo,4.92,75
INFINITI QX60 Luxe,2019,INFINITI Certified,4.92,741
INFINITI QX80 Base,2017,Usado,4.92,435
INFINITI Q70L 3.7 LUXE,2018,INFINITI Certified,4.92,795
Lexus RX 450h Base,2013,Usado,4.92,568
Mercedes-Benz GLC 300 Base 4MATIC,2022,Nuevo,4.92,677
Mercedes-Benz GLC 300 Base,2022,Nuevo,4.92,626
Mercedes-Benz EQS 580 Base 4MATIC,2023,Nuevo,4.92,535
Mercedes-Benz AMG GLA 45 Base,2023,Nuevo,4.92,670
Porsche 911 Carrera Cabriolet,2001,Usado,4.92,225
Tesla Model S Performance,2014,Usado,4.92,205
Acura MDX Technology,2023,Nuevo,4.91,186
Acura TLX A-Spec,2020,Usado,4.91,327
Acura Integra A-Spec Technology,2023,Nuevo,4.91,326
BMW M235 i,2014,Usado,4.91,496
BMW X4 xDrive28i,2016,Usado,4.91,651
Chevrolet Silverado 1500 LTZ,2022,Nuevo,4.91,121
Dodge Charger SXT,2016,Usado,4.91,336
Dodge Challenger R/T Scat Pack,2022,Nuevo,4.91,297
Ford F-250 XLT,2020,Usado,4.91,124
Hyundai Tucson GLS,2013,Usado,4.91,325
INFINITI QX50 Luxe,2020,Usado,4.91,619
Lexus NX 350 Luxury,2023,Nuevo,4.91,276
Lexus UX 250h Base,2021,Usado,4.91,574
Lexus RX 350 Base,2022,Nuevo,4.91,776
Mercedes-Benz S-Class S 580 4MATIC,2023,Nuevo,4.91,468
Tesla Model 3 Performance,2022,Usado,4.91,798
Tesla Model Y Long Range,2020,Usado,4.91,504
Tesla Model 3 Long Range,2020,Usado,4.91,277
Acura TLX A-Spec,2023,Nuevo,4.9,181
BMW M4 Competition xDrive,2023,Nuevo,4.9,87
Chevrolet Silverado 1500 LTZ,2022,Nuevo,4.9,799
Chevrolet Corvette Indy Pace Car Edition,2007,Usado,4.9,295
Dodge Challenger R/T,2023,Nuevo,4.9,556
Dodge Journey Crossroad,2017,Usado,4.9,666
Dodge Challenger R/T,2020,Usado,4.9,52
Dodge Charger SE,2014,Usado,4.9,135
Dodge Charger R/T,2022,Nuevo,4.9,387
Ford Bronco Outer Banks,2023,Nuevo,4.9,214
Hyundai Sonata SE,2021,Usado,4.9,553
Hyundai Santa Fe HEV Limited,2022,Usado,4.9,185
INFINITI QX80 SENSORY,2023,Nuevo,4.9,342
INFINITI QX50 AUTOGRAPH,2023,Nuevo,4.9,402
Mercedes-Benz Sprinter 2500 High Roof,2023,Nuevo,4.9,513
Porsche Macan ,2021,Usado,4.9,293
Porsche Panamera S,2012,Usado,4.9,602
Tesla Model 3 Standard Range Plus,2020,Usado,4.9,268
Acura RDX Base,2023,Nuevo,4.89,95
Acura RDX Technology Package,2020,Acura Certified,4.89,133
BMW 750 i xDrive,2017,Usado,4.89,682
Chevrolet Tahoe Premier,2023,Nuevo,4.89,409
Chevrolet Tahoe LS,2023,Nuevo,4.89,607
Chevrolet Tahoe LS,2023,Nuevo,4.89,503
Dodge Nitro SXT,2007,Usado,4.89,484
Hyundai Elantra HEV Limited,2023,Nuevo,4.89,632
Hyundai Azera Limited,2016,Usado,4.89,18
Hyundai Santa Fe SEL 2.4,2020,Usado,4.89,231
INFINITI G37x Base,2011,Usado,4.89,501
INFINITI QX55 ESSENTIAL,2023,Nuevo,4.89,646
Lexus RX 350 F Sport,2020,Usado,4.89,727
Lexus ES 350 Base,2019,Usado,4.89,159
Lexus RX 350 350,2017,Usado,4.89,139
Mercedes-Benz GLC 300 Base 4MATIC,2022,Nuevo,4.89,719
Mercedes-Benz G-Class G 550 4MATIC,2023,Nuevo,4.89,306
Mercedes-Benz Sprinter 2500 Standard Roof,2022,Nuevo,4.89,23
Porsche 911 Turbo,2011,Usado,4.89,35
Porsche Macan Turbo,2015,Usado,4.89,353
Tesla Model S 85,2015,Usado,4.89,237
Tesla Model S Long Range,2019,Usado,4.89,608
Acura MDX 3.5L w/Technology Package,2017,Usado,4.88,159
Acura MDX 3.7L (A5),2007,Usado,4.88,723
BMW M8 Competition,2023,Nuevo,4.88,664
Chevrolet Camaro SS,2021,Usado,4.88,636
Dodge Grand Caravan GT,2019,Usado,4.88,277
Dodge Durango GT,2021,Usado,4.88,233
Dodge Charger SXT,2023,Nuevo,4.88,490
Ford Expedition Platinum,2023,Nuevo,4.88,442
Hyundai Elantra HEV Limited,2023,Nuevo,4.88,673
Hyundai Veloster Base,2017,Usado,4.88,617
INFINITI QX80 Base,2016,Usado,4.88,332
INFINITI G35 Base,2006,Usado,4.88,137
Lexus GX 460 Base,2020,Usado,4.88,276
Lexus NX 300 Base,2020,Usado,4.88,73
Lexus ES 350 Base,2018,Usado,4.88,65
Mercedes-Benz EQS 450 Base 4MATIC,2023,Nuevo,4.88,620
Mercedes-Benz S-Class S 580 4MATIC,2023,Nuevo,4.88,662
Porsche Panamera S,2016,Usado,4.88,103
Porsche 911 Carrera S,2021,Porsche Certified,4.88,107
Porsche 911 Turbo S,2018,Usado,4.88,745
Tesla Model S 75/HIGHWAY AUTOPILOT/2016.5 YEAR MODEL/249 MILE RA,2016,Usado,4.88,381
Acura RDX Technology Package,2021,Acura Certified,4.87,279
Acura TLX Type S,2021,Usado,4.87,385
Acura TLX Tech,2016,Usado,4.87,183
Chevrolet Suburban LS,2023,Nuevo,4.87,563
Chevrolet Suburban Premier,2023,Nuevo,4.87,311
Dodge Dart SXT,2013,Usado,4.87,178
Ford F-150 King Ranch,2022,Nuevo,4.87,604
Hyundai IONIQ 5 Limited,2023,Nuevo,4.87,387
Hyundai IONIQ 5 SEL,2023,Nuevo,4.87,15
Hyundai Santa Fe Sport 2.0L Turbo,2015,Usado,4.87,740
Lexus RX 350 Base,2022,Usado,4.87,414
Lexus RX 350 Base,2017,Usado,4.87,88
Lexus NX 350 F SPORT Handling,2023,Nuevo,4.87,501
Mercedes-Benz G-Class G 550 4MATIC,2023,Nuevo,4.87,53
Mercedes-Benz E-Class E 350,2022,Nuevo,4.87,417
Mercedes-Benz GLA 250 Base 4MATIC,2023,Nuevo,4.87,681
Porsche Cayenne Base,2018,Usado,4.87,654
Porsche 911 ,2018,Porsche Certified,4.87,327
Porsche Cayenne GTS,2021,Usado,4.87,321
Tesla Model S 75D,2017,Usado,4.87,704
Acura TLX Type S,2023,Nuevo,4.86,258
Acura MDX Technology Package,2022,Acura Certified,4.86,207
BMW M550 i xDrive,2019,Usado,4.86,780
Chevrolet Silverado 2500 Custom,2023,Nuevo,4.86,572
Chevrolet Silverado 1500 RST,2022,Nuevo,4.86,694
Chevrolet Suburban Premier,2023,Nuevo,4.86,450
Chevrolet Blazer Premier,2023,Nuevo,4.86,487
Chevrolet Equinox RS,2022,Nuevo,4.86,375
Chevrolet Camaro LT1,2022,Usado,4.86,312
Chevrolet Colorado ZR2,2022,Nuevo,4.86,112
Chevrolet Blazer RS,2023,Nuevo,4.86,553
Dodge Challenger SRT Hellcat,2023,Nuevo,4.86,272
Dodge Durango SXT,2023,Nuevo,4.86,688
Dodge Durango R/T,2023,Nuevo,4.86,798
Dodge Durango R/T,2021,Usado,4.86,586
Hyundai Palisade SEL,2023,Nuevo,4.86,42
INFINITI Q50 3.0t LUXE,2019,Usado,4.86,253
Lexus RX 450h Base,2020,Usado,4.86,626
Mercedes-Benz Sprinter 2500 Standard Roof,2022,Nuevo,4.86,394
Porsche 911 Carrera T,2018,Usado,4.86,252
Acura MDX 3.5L,2019,Usado,4.85,187
Acura TLX Technology,2018,Usado,4.85,334
Acura TLX V6 Tech,2015,Usado,4.85,776
Acura RDX Technology Package,2023,Nuevo,4.85,376
Acura RDX Technology Package,2023,Nuevo,4.85,470
BMW 530 i xDrive,2023,Nuevo,4.85,570
BMW 328 i xDrive,2009,Usado,4.85,368
BMW i3 94Ah s,2018,Usado,4.85,132
Chevrolet Tahoe Premier,2023,Nuevo,4.85,194
Chevrolet Tahoe LT,2023,Nuevo,4.85,116
Dodge Charger SRT Hellcat Widebody,2022,Nuevo,4.85,589
Dodge Challenger SRT8,2010,Usado,4.85,305
Ford Transit-350 Base,2023,Nuevo,4.85,364
Ford Mustang GT,2019,Usado,4.85,606
Hyundai Santa Fe Limited,2016,Usado,4.85,626
INFINITI QX50 SENSORY,2020,Usado,4.85,137
Lexus GX 460 Base,2018,Usado,4.85,316
Lexus RX 350 F Sport,2015,Usado,4.85,122
Lexus RX 350 Base,2012,Usado,4.85,467
Mercedes-Benz GLB 250 Base 4MATIC,2022,Nuevo,4.85,102
Porsche Macan S,2019,Usado,4.85,745
Porsche Macan S,2019,Usado,4.85,22
Tesla Model 3 Standard Range Plus,2021,Usado,4.85,294
Acura RDX Advance Package,2019,Usado,4.84,790
Acura TLX Technology,2020,Usado,4.84,775
BMW X5 xDrive40i,2022,Nuevo,4.84,439
BMW M3 Base,2016,Usado,4.84,405
Dodge Durango R/T,2023,Nuevo,4.84,167
Ford F-150 Lariat,2022,Nuevo,4.84,69
Hyundai Sonata Hybrid Limited,2023,Nuevo,4.84,411
Hyundai Santa Fe Sport 2.4L,2018,Usado,4.84,697
INFINITI QX55 LUXE,2023,Nuevo,4.84,621
INFINITI QX60 Luxe,2019,Usado,4.84,320
INFINITI QX55 ESSENTIAL,2023,INFINITI Certified,4.84,522
Lexus LX 600 Luxury,2023,Nuevo,4.84,388
Lexus IS 200t Base,2017,Usado,4.84,417
Lexus RX 350 Base,2011,Usado,4.84,784
Mercedes-Benz GLE 350 Base,2023,Nuevo,4.84,203
Mercedes-Benz EQS 450+ EQS 450+,2022,Nuevo,4.84,432
Porsche 911 Carrera Cabriolet,2009,Usado,4.84,761
Tesla Model X Long Range,2020,Usado,4.84,353
Tesla Model 3 Standard Range Plus,2020,Usado,4.84,684
Tesla Model 3 Standard Range,2020,Usado,4.84,498
Acura TLX Base,2021,Acura Certified,4.83,727
Acura RDX A-Spec,2023,Nuevo,4.83,86
Acura RDX Base,2021,Usado,4.83,295
BMW 740 i,2020,Usado,4.83,36
BMW X4 xDrive30i,2023,Nuevo,4.83,296
BMW M8 Competition,2023,Nuevo,4.83,448
BMW 228 i xDrive,2016,Usado,4.83,258
Chevrolet Camaro 1LT,2023,Nuevo,4.83,664
Dodge Challenger SXT,2016,Usado,4.83,63
Dodge Durango R/T,2022,Usado,4.83,152
Ford Explorer XLT,2022,Nuevo,4.83,666
Ford Fusion SE,2015,Usado,4.83,141
Hyundai Azera Limited,2016,Usado,4.83,502
INFINITI QX80 Base,2018,Usado,4.83,133
Lexus GX 460 Luxury,2021,Usado,4.83,340
Mercedes-Benz S-Class S 500 4MATIC,2023,Nuevo,4.83,680
Acura RDX Base,2011,Usado,4.82,269
Acura MDX 3.5L,2020,Usado,4.82,722
Acura TLX Tech,2015,Usado,4.82,515
BMW M340 i xDrive,2021,Usado,4.82,542
BMW X5 PHEV xDrive45e,2023,Nuevo,4.82,587
BMW 330e iPerformance,2017,Usado,4.82,403
Chevrolet Silverado 1500 RST,2022,Nuevo,4.82,26
Dodge Durango GT,2020,Usado,4.82,318
Dodge Durango GT,2020,Dodge Certified,4.82,684
Ford Escape SEL,2019,Nuevo,4.82,209
Hyundai Santa Fe SEL Plus 2.4,2019,Usado,4.82,641
Hyundai Palisade SE,2021,Usado,4.82,301
Hyundai Santa Fe Sport 2.4L,2017,Usado,4.82,176
INFINITI QX55 LUXE,2023,Nuevo,4.82,723
Lexus GX 460 Base,2023,Nuevo,4.82,441
Lexus GX 460 Base,2022,Usado,4.82,642
Lexus RX 350 Base,2016,Usado,4.82,414
Lexus GX 460 Base,2023,Nuevo,4.82,790
Lexus RX 400h ,2007,Usado,4.82,786
Lexus RX 350 Premium,2023,Nuevo,4.82,545
Porsche Cayenne S,2020,Usado,4.82,607
Tesla Model X 70D,2016,Usado,4.82,315
Tesla Model 3 Standard,2020,Usado,4.82,371
Tesla Model 3 Performance,2021,Usado,4.82,435
Tesla Model 3 Standard Range Plus,2019,Usado,4.82,16
Acura NSX Base,2019,Usado,4.81,375
Acura Integra w/A-Spec Package,2023,Nuevo,4.81,151
BMW 540 i xDrive,2023,Nuevo,4.81,127
BMW 750 i xDrive,2019,Usado,4.81,313
Chevrolet Colorado Z71,2022,Nuevo,4.81,768
Chevrolet Tahoe LTZ,2014,Usado,4.81,555
Dodge Challenger SRT8 Core,2014,Usado,4.81,183
Ford F-150 King Ranch,2022,Nuevo,4.81,768
Hyundai Santa Cruz 2.5L SEL,2022,Usado,4.81,578
Hyundai Palisade Calligraphy,2022,Usado,4.81,594
INFINITI QX80 Luxe,2023,Nuevo,4.81,494
INFINITI QX55 LUXE,2023,Nuevo,4.81,635
Lexus NX 300 F Sport,2019,Usado,4.81,303
Lexus RX 350 RX 350,2020,Usado,4.81,606
Porsche 911 Carrera S Cabriolet,2007,Usado,4.81,439
Porsche Cayman Base,2014,Usado,4.81,579
Porsche Macan Base,2020,Usado,4.81,362
Tesla Model X 90D,2016,Usado,4.81,593
Tesla Model 3 Long Range,2021,Usado,4.81,324
Acura ILX Premium & A-SPEC Packages,2021,Acura Certified,4.8,96
BMW 328 i,2015,Usado,4.8,789
Chevrolet City Express 1LS,2017,Usado,4.8,577
Chevrolet Silverado 1500 LT,2022,Nuevo,4.8,709
Chevrolet Malibu 2LT,2023,Nuevo,4.8,447
Dodge Challenger R/T,2020,Usado,4.8,311
Dodge Charger SXT Plus,2018,Usado,4.8,659
Dodge Challenger SRT8,2011,Usado,4.8,701
Ford Bronco Sport Badlands,2022,Nuevo,4.8,506
Lexus LS 500 F Sport,2022,Usado,4.8,475
Mercedes-Benz GLC 300 Base,2021,Nuevo,4.8,209
Mercedes-Benz GLB 250 Base 4MATIC,2022,Nuevo,4.8,414
Porsche Cayman ,2007,Usado,4.8,529
Porsche 911 Carrera GTS,2022,Usado,4.8,307
Tesla Model 3 Standard Range Plus,2021,Usado,4.8,729
Acura ILX Base,2020,Acura Certified,4.79,673
Acura MDX Advance,2023,Nuevo,4.79,592
BMW 528 i,2015,Usado,4.79,197
BMW 740 i,2023,Nuevo,4.79,645
Chevrolet Camaro 2LT,2023,Nuevo,4.79,355
Chevrolet Camaro 2LT,2023,Nuevo,4.79,625
Chevrolet Silverado 1500 RST,2022,Nuevo,4.79,788
Dodge Charger R/T,2021,Usado,4.79,160
Dodge Charger SXT,2021,Usado,4.79,461
Ford Bronco Black Diamond,2023,Nuevo,4.79,251
Hyundai Palisade Calligraphy,2023,Nuevo,4.79,494
Hyundai Tucson SE,2019,Usado,4.79,585
Lexus LX 570 570,2018,Usado,4.79,508
Mercedes-Benz EQB 350 350,2023,Nuevo,4.79,556
Mercedes-Benz AMG GLC 43 Base 4MATIC,2022,Nuevo,4.79,690
Mercedes-Benz AMG GLE 53 Base,2023,Nuevo,4.79,144
Porsche 911 Carrera Cabriolet,2008,Usado,4.79,544
Porsche Cayenne E-Hybrid Turbo S,2021,Usado,4.79,299
Porsche 718 Boxster Base,2018,Usado,4.79,130
Porsche Cayenne Platinum Edition,2022,Porsche Certified,4.79,286
Tesla Model S 75,2016,Usado,4.79,777
Tesla Model 3 Standard Range Plus,2020,Usado,4.79,454
Tesla Model X Performance,2020,Usado,4.79,711
BMW M440 i xDrive,2023,Nuevo,4.78,692
Dodge Charger SE,2016,Usado,4.78,493
Dodge Charger SE,2015,Usado,4.78,590
Ford Expedition Max Limited,2022,Nuevo,4.78,680
Ford Mustang GT Premium,2022,Nuevo,4.78,419
Hyundai Kona SEL,2023,Nuevo,4.78,242
Hyundai Santa Fe HEV SEL Premium,2023,Nuevo,4.78,151
INFINITI Q60 3.0t Red Sport 400,2022,Nuevo,4.78,292
Lexus RX 350 ,2015,Usado,4.78,765
Lexus RX 350 F SPORT Appearance,2021,Usado,4.78,425
Mercedes-Benz GLE 450 AWD 4MATIC,2023,Nuevo,4.78,511
Mercedes-Benz G-Class G 550 4MATIC,2023,Nuevo,4.78,746
Porsche 911 Turbo,2016,Usado,4.78,595
Porsche Panamera 4,2013,Usado,4.78,779
Porsche Cayenne Base,2016,Usado,4.78,522
Tesla Model Y Performance,2022,Usado,4.78,320
Acura TLX A-Spec,2023,Nuevo,4.77,162
Acura MDX 3.5L,2020,Usado,4.77,623
BMW X6 M50i,2023,Nuevo,4.77,363
BMW X4 xDrive30i,2023,Nuevo,4.77,602
BMW X3 M Competition,2020,Usado,4.77,148
BMW 230 i xDrive,2019,Usado,4.77,249
Chevrolet Camaro 1LT,2023,Nuevo,4.77,302
Chevrolet Tahoe LT,2012,Usado,4.77,220
Ford Bronco Wildtrak,2023,Nuevo,4.77,26
INFINITI QX50 Base,2017,Usado,4.77,246
INFINITI QX60 Pure,2020,Usado,4.77,111
INFINITI Q50 3.0t LUXE,2020,INFINITI Certified,4.77,95
INFINITI Q60 3.0t Red Sport 400,2022,Nuevo,4.77,290
INFINITI QX60 Base,2014,Usado,4.77,564
Mercedes-Benz S-Class S 500 4MATIC,2023,Nuevo,4.77,240
Porsche Cayenne E-Hybrid Base,2019,Usado,4.77,127
Porsche 911 Carrera Cabriolet,1999,Usado,4.77,186
Porsche Cayenne Base,2016,Usado,4.77,490
Porsche Macan Turbo,2017,Usado,4.77,624
Tesla Model S Long Range,2019,Usado,4.77,310
BMW 540 i xDrive,2023,Nuevo,4.76,204
BMW 540 i,2018,Usado,4.76,740
Dodge Challenger R/T Scat Pack,2022,Nuevo,4.76,318
Ford F-150 XLT,2022,Nuevo,4.76,155
Ford Ranger Lariat,2023,Nuevo,4.76,662
Hyundai IONIQ 5 SEL,2022,Usado,4.76,351
INFINITI QX60 Base,2016,Usado,4.76,791
INFINITI QX70 Base,2015,Usado,4.76,410
INFINITI Q50 RED SPORT 400,2022,INFINITI Certified,4.76,532
Lexus GX 460 Luxury,2020,Usado,4.76,103
Lexus GX 460 Luxury,2021,Usado,4.76,617
Lexus RC F Base,2017,Usado,4.76,491
Mercedes-Benz S-Class S 580 4MATIC,2023,Nuevo,4.76,451
Mercedes-Benz GLC 300 Base,2022,Nuevo,4.76,379
Mercedes-Benz AMG GLE 53 Base,2023,Nuevo,4.76,580
Porsche Macan Base,2021,Porsche Certified,4.76,483
Porsche 911 Carrera S,2013,Porsche Certified,4.76,414
Tesla Model 3 ,2019,Usado,4.76,320
Acura TLX FWD,2016,Usado,4.75,16
BMW 430 Gran Coupe i xDrive,2023,Nuevo,4.75,11
BMW 840 i xDrive,2022,Usado,4.75,343
Chevrolet Camaro ZL1,2023,Nuevo,4.75,293
Dodge Ram 2500 Laramie,2006,Usado,4.75,702
Dodge Journey SXT,2015,Usado,4.75,737
Ford F-250 Lariat,2022,Nuevo,4.75,209
INFINITI QX60 Luxe,2022,INFINITI Certified,4.75,507
INFINITI QX56 Base,2012,Usado,4.75,12
Lexus RX 350 ,2023,Nuevo,4.75,723
Lexus GX 460 Luxury,2023,Nuevo,4.75,7
Mercedes-Benz AMG GLE 53 Base,2023,Nuevo,4.75,386
Mercedes-Benz E-Class E 350 4MATIC,2023,Nuevo,4.75,629
Porsche 911 Turbo,2003,Usado,4.75,67
Porsche 911 Carrera S,2017,Usado,4.75,612
Porsche Macan Base,2021,Usado,4.75,685
Tesla Model 3 Long Range,2020,Usado,4.75,259
