carroId,estrellas,creadoEn
49882,3,2024-12-31 15:53:25
112747,4,2024-11-03 17:02:29
24579,5,2025-04-04 20:07:29
9405,2,2025-04-13 23:53:27
72629,1,2024-04-17 18:21:06
4917,4,2025-07-04 04:23:45
39540,5,2025-08-13 06:13:56
14576,4,2025-02-02 08:12:33
16006,5,2025-11-01 21:47:50
37522,2,2024-08-15 14:58:07
32703,2,2025-10-07 23:10:02
15594,3,2025-09-27 22:06:04
37220,1,2025-05-22 10:41:10
9980,2,2025-09-17 18:29:04
10801,3,2025-02-04 05:16:40
28547,3,2024-03-11 16:39:37
6737,4,2024-04-08 20:16:16
78226,4,2025-07-06 13:30:59
86756,2,2024-03-08 08:06:41
50927,1,2024-04-22 06:42:25
53284,5,2024-07-10 18:24:58
33197,3,2024-04-03 04:55:22
44189,2,2024-01-31 12:44:53
42360,2,2023-12-04 12:45:39
99309,4,2025-01-01 11:36:31
96941,3,2025-02-23 16:31:49
9838,1,2025-08-31 06:13:08
18210,3,2023-12-14 19:21:02
37093,4,2025-07-11 14:08:55
94459,1,2024-02-21 01:23:02
92745,4,2025-01-06 15:39:07
76514,5,2024-08-10 20:46:38
78278,5,2024-01-06 23:07:45
36166,5,2024-07-25 12:13:02
68907,3,2025-09-20 08:14:31
55827,4,2024-07-16 02:11:41
79235,3,2025-11-04 07:45:09
66413,5,2024-05-10 21:20:52
78366,2,2025-04-08 09:01:26
7649,1,2024-04-24 08:21:01
48398,1,2024-04-18 19:53:17
77444,3,2024-07-06 10:54:59
56714,4,2024-03-19 23:49:37
45596,4,2024-10-08 17:07:16
27291,3,2024-06-11 17:09:36
47719,5,2024-05-13 02:56:29
38830,2,2025-11-10 09:50:25
111639,2,2025-10-28 15:40:29
58754,1,2024-04-30 21:28:12
59728,2,2025-07-06 01:27:42
51081,4,2024-08-16 04:00:27
17468,3,2023-12-05 08:44:37
53097,3,2024-02-28 19:35:07
3394,3,2025-09-25 20:15:05
50172,1,2025-10-12 08:13:54
62445,1,2024-10-20 15:24:08
86945,1,2024-02-17 18:50:22
10880,3,2025-08-23 01:43:08
112594,3,2024-08-31 12:31:54
14580,2,2023-12-03 21:50:12
668,4,2024-10-23 23:46:29
66748,4,2025-09-17 23:53:03
112873,2,2025-06-13 23:59:31
34168,1,2025-09-07 15:07:17
103214,5,2025-06-10 20:52:29
58338,1,2024-04-24 04:11:42
114944,1,2024-09-04 15:22:47
450,4,2023-12-22 09:19:19
53632,5,2024-10-26 05:05:15
78579,1,2024-10-19 19:00:25
88122,3,2024-09-19 05:07:19
105410,1,2024-04-16 10:46:36
63683,2,2024-04-21 21:09:51
70294,2,2025-07-05 00:04:46
1011,4,2024-09-04 17:01:34
53431,2,2025-02-14 14:20:49
25189,5,2025-08-07 19:16:14
94387,1,2024-02-18 23:31:58
15954,3,2024-01-25 06:47:03
114057,2,2024-03-29 03:56:30
18351,2,2024-12-11 17:32:08
18721,5,2025-10-23 12:44:02
19410,2,2025-02-05 08:15:37
22937,5,2025-05-29 21:54:06
20320,3,2024-12-19 08:05:16
1727,5,2024-02-16 16:37:24
36402,4,2024-03-19 16:15:36
42827,2,2025-06-23 20:03:57
68946,2,2024-04-24 23:50:10
46913,5,2024-02-15 15:32:34
77471,5,2024-11-28 01:32:34
38950,1,2025-06-11 10:28:07
169,3,2025-02-25 23:05:33
12094,1,2024-08-18 12:46:53
95197,5,2025-06-18 10:59:50
35125,4,2024-07-17 06:57:52
79344,1,2024-10-01 14:26:43
29908,3,2024-04-10 12:02:51
102467,1,2024-04-25 12:41:20
92345,1,2024-01-23 16:22:03
32280,3,2025-07-27 09:05:23
87427,1,2024-12-11 21:23:30
108272,3,2024-08-19 16:08:57
25460,3,2024-11-19 10:04:28
102206,4,2024-05-30 10:44:59
19087,2,2024-12-13 07:24:49
100420,5,2024-02-09 03:35:23
77602,2,2024-11-03 02:08:11
108219,1,2023-11-26 16:52:27
103750,4,2023-11-19 19:09:18
37915,1,2024-09-04 08:09:27
83828,3,2025-07-30 04:34:48
64144,5,2024-10-05 09:31:43
5366,5,2024-09-20 02:11:22
99507,4,2025-09-10 04:43:50
68707,2,2024-01-30 21:16:01
3829,2,2024-08-15 15:38:09
70838,1,2024-08-20 02:06:11
111607,1,2024-07-11 22:22:45
3111,3,2025-08-24 22:02:13
13413,5,2024-01-03 21:17:08
37710,3,2024-10-16 09:01:22
31797,3,2025-09-02 16:11:26
10119,5,2025-04-03 14:05:46
43637,2,2024-07-04 17:15:06
103107,5,2024-05-10 07:27:34
99740,1,2025-05-11 19:28:34
85956,3,2024-01-18 18:11:26
37738,4,2025-04-02 08:50:39
72833,4,2025-03-28 01:08:17
104841,4,2025-08-04 10:33:13
37728,2,2024-09-11 20:10:42
72169,1,2025-09-24 12:38:24
22976,1,2024-11-14 06:42:56
84091,5,2023-11-26 11:22:01
88361,5,2024-06-14 12:58:51
79986,2,2025-06-02 21:10:24
2959,4,2025-03-30 23:33:32
29100,3,2025-10-11 03:22:01
65238,5,2024-07-22 06:06:29
84211,1,2023-12-19 09:38:59
88302,2,2024-03-02 11:24:24
60904,5,2025-09-02 08:51:29
76702,1,2024-05-25 13:33:45
87509,2,2024-03-30 22:06:03
12760,2,2025-01-25 16:25:16
107992,5,2023-11-21 08:46:48
95078,4,2024-02-21 13:01:49
32845,2,2024-12-20 23:42:58
107744,4,2024-03-14 03:26:47
78154,5,2024-03-02 01:47:53
1802,3,2025-05-07 00:56:56
106735,3,2024-11-13 01:50:40
72424,3,2025-06-28 05:58:35
45152,4,2023-12-14 10:44:33
102793,3,2023-12-31 16:24:22
77642,5,2025-02-19 05:57:29
40117,1,2025-07-29 09:21:12
71400,3,2024-04-25 03:20:01
24455,5,2025-09-17 01:44:36
96544,1,2025-06-10 19:41:24
109330,4,2025-04-10 12:56:34
79003,4,2024-06-28 19:23:37
74245,1,2024-08-28 20:57:59
90371,3,2025-03-07 19:57:40
47093,2,2024-10-01 09:45:25
68135,5,2025-08-14 14:24:23
104990,5,2024-03-15 11:35:28
56250,1,2024-10-04 19:05:07
49449,1,2024-03-27 02:02:33
95406,1,2024-03-28 19:22:46
50923,3,2025-11-10 09:38:28
55100,4,2024-12-20 23:17:59
31535,2,2024-03-10 17:50:17
59291,3,2025-06-12 11:09:44
48662,4,2025-08-03 20:32:18
5667,1,2025-08-04 13:21:16
52308,3,2025-04-16 12:46:21
18862,4,2024-04-03 05:26:39
54313,1,2024-08-23 17:15:43
29186,4,2025-09-26 23:05:30
87017,5,2025-11-01 14:18:09
9059,3,2024-02-07 03:06:28
77038,5,2025-07-17 02:22:56
7680,2,2024-03-19 06:45:59
46887,2,2023-12-07 10:46:16
83234,1,2024-12-04 15:00:21
67113,3,2024-04-20 16:10:12
25488,4,2024-07-08 21:21:46
94751,4,2024-09-22 16:33:45
80736,5,2025-03-13 20:34:14
21068,5,2024-08-30 00:33:26
111265,4,2025-10-20 04:31:56
38766,3,2025-08-28 17:11:59
39492,4,2024-06-07 03:14:22
101433,4,2025-03-11 05:12:37
112681,2,2024-07-20 13:07:50
42351,1,2023-12-06 06:46:22
69666,3,2025-07-14 13:05:30
88515,2,2023-12-04 05:24:28
31509,2,2024-07-28 17:02:18
32838,2,2023-12-06 07:07:17
27865,3,2025-10-04 12:42:54
67147,1,2024-11-13 14:42:00
100506,1,2023-12-10 17:51:35
35902,1,2025-06-07 00:22:39
59556,2,2025-09-21 11:41:05
40346,1,2024-03-05 06:36:31
94392,3,2025-10-23 18:12:34
44828,2,2024-09-25 19:07:41
114440,4,2023-12-20 06:42:49
78690,1,2025-01-06 04:26:33
42943,5,2024-09-02 00:22:33
44308,3,2025-06-28 09:58:26
60102,3,2025-02-21 00:53:20
110867,5,2025-05-28 08:42:02
3775,4,2024-12-26 02:25:28
22822,4,2024-03-25 00:05:18
73807,4,2024-03-16 00:27:06
1960,2,2024-01-30 22:11:04
36380,2,2023-11-25 18:22:27
48356,4,2024-08-10 23:30:50
8053,2,2025-10-11 00:42:38
99994,2,2024-05-05 03:19:26
29049,2,2024-01-24 17:12:54
81342,3,2024-10-05 07:05:06
88560,5,2024-01-04 16:18:08
38158,3,2024-02-09 11:23:10
23762,2,2024-11-17 15:23:37
111192,1,2024-11-08 21:33:56
42226,5,2024-10-01 13:29:39
106225,2,2025-09-09 03:30:55
68861,4,2025-10-11 18:30:27
29670,1,2025-01-04 01:13:16
36640,1,2024-10-21 05:50:50
108546,2,2024-02-26 13:23:57
79312,4,2025-09-09 17:58:01
51421,2,2025-02-24 17:41:21
115573,5,2025-08-03 20:40:44
78656,1,2025-03-22 19:44:35
58016,2,2023-11-14 17:21:11
13004,4,2024-07-13 01:23:36
38731,2,2024-11-18 01:43:22
78675,2,2024-11-12 19:46:21
108688,2,2025-10-12 20:42:34
3466,3,2025-10-15 10:51:33
11405,4,2024-05-31 16:08:55
60819,5,2024-02-21 17:41:47
100808,2,2024-07-21 22:45:16
15627,3,2025-04-06 23:36:15
89719,2,2025-01-06 13:58:17
77378,2,2024-08-24 02:51:25
53231,4,2025-03-04 18:24:45
79184,2,2025-04-16 08:22:32
62239,1,2025-05-23 12:59:09
51933,2,2024-01-28 00:53:43
16542,3,2024-11-19 06:32:57
98504,1,2024-11-30 22:23:26
28240,1,2025-06-17 17:01:59
109970,2,2025-08-20 16:31:46
76857,2,2025-09-05 21:44:40
65551,1,2025-01-30 20:34:40
39593,5,2024-04-14 14:57:28
102267,3,2024-02-19 21:35:52
995,2,2024-05-02 12:09:24
19822,1,2024-12-17 23:14:20
54787,1,2024-02-22 23:41:25
88005,5,2025-07-31 18:31:49
6390,1,2024-03-03 22:04:28
75558,2,2024-05-07 08:29:31
84278,2,2025-04-09 04:27:53
27741,3,2024-01-17 00:00:53
81133,2,2025-06-13 09:52:41
64148,5,2024-01-26 18:53:58
63861,1,2025-05-24 06:44:49
79129,1,2024-09-22 19:59:49
271,1,2024-06-20 10:21:01
84690,1,2025-10-03 01:14:58
24092,5,2025-03-05 20:36:12
84939,3,2024-02-03 21:29:49
56399,1,2024-05-26 04:06:55
49386,2,2024-05-07 21:00:39
24145,3,2024-05-26 20:44:30
49359,3,2024-04-05 13:35:35
91753,4,2025-06-03 04:39:06
8388,5,2025-04-09 07:26:12
96989,3,2024-07-05 00:57:49
46387,5,2024-07-26 09:55:45
40515,1,2025-05-18 23:50:38
95302,4,2024-11-07 02:59:09
75939,5,2025-04-16 06:58:00
106417,2,2025-02-15 00:55:31
29741,1,2024-12-21 23:51:18
37442,3,2024-12-19 15:41:48
95284,2,2025-02-04 11:04:32
17920,2,2025-09-30 11:04:44
10859,4,2024-06-08 08:01:54
85314,4,2025-06-26 09:20:41
61011,5,2025-10-12 20:23:43
100714,1,2024-02-24 11:05:57
37338,3,2024-07-25 21:13:14
49394,3,2024-10-06 22:56:30
57815,3,2024-08-31 06:07:59
109821,2,2025-04-10 17:35:47
58188,1,2024-03-05 23:01:00
102547,1,2025-02-06 04:06:49
80602,3,2025-06-08 03:35:04
99214,3,2025-11-09 02:33:46
25666,5,2025-09-04 23:00:04
91659,1,2023-12-10 17:54:25
10523,4,2025-06-17 02:26:15
65399,4,2025-10-17 21:14:09
55145,4,2025-07-27 08:43:13
44563,1,2024-09-08 05:22:50
45168,2,2025-03-18 23:00:08
86355,4,2023-12-21 11:01:46
84949,4,2025-07-23 00:45:58
8769,2,2024-04-15 20:57:09
3474,5,2024-04-03 15:50:31
20988,5,2023-11-25 06:52:39
11344,3,2024-03-04 04:45:55
62494,5,2025-03-21 02:16:26
7202,4,2023-12-10 15:49:58
86794,1,2025-08-24 00:29:45
104485,5,2025-07-23 11:31:44
7848,2,2024-05-16 21:21:40
17308,2,2024-03-18 21:39:36
9077,1,2024-09-17 08:06:38
51222,4,2024-07-21 16:20:25
82060,5,2023-11-23 06:14:17
89097,4,2025-01-31 12:22:14
3152,4,2024-11-21 14:13:20
82471,4,2024-11-23 23:25:22
82918,4,2025-09-10 08:13:24
26804,3,2024-08-07 06:41:41
32254,2,2024-04-07 23:46:56
19814,2,2025-03-16 11:57:33
89648,4,2025-09-19 13:02:15
16136,5,2025-08-09 17:41:20
46627,5,2025-02-04 11:42:59
20358,1,2024-09-24 05:53:34
113903,2,2024-10-30 07:43:57
49618,5,2024-04-29 00:44:16
94433,3,2024-10-31 04:02:31
84820,5,2025-03-10 18:00:24
48187,4,2024-06-05 06:56:04
28924,4,2025-01-11 03:49:52
10983,1,2024-10-20 19:32:30
37496,2,2024-02-13 16:12:31
79466,3,2025-06-14 18:58:12
25240,1,2024-06-18 02:31:38
5249,1,2025-04-06 06:34:13
97840,2,2025-07-03 01:59:07
59449,3,2024-12-17 18:42:24
101307,2,2025-10-31 18:22:39
74685,5,2024-08-02 04:34:02
74004,2,2024-08-02 02:46:56
114518,2,2025-10-07 09:48:26
92149,1,2024-04-06 21:08:47
27156,2,2024-05-30 10:44:51
34034,4,2024-08-05 00:17:05
45165,5,2025-08-01 23:15:25
86338,5,2025-09-21 10:37:14
111603,4,2024-11-26 16:51:34
49806,5,2025-07-05 19:10:09
27354,2,2025-01-13 12:09:12
62751,5,2024-11-02 14:14:52
93534,3,2025-04-12 07:44:28
13538,4,2024-01-28 02:51:18
86391,5,2025-04-16 00:33:36
26438,4,2025-09-09 04:53:38
54098,3,2024-08-06 02:14:02
74728,1,2025-06-29 00:16:21
115656,3,2024-12-21 08:07:18
27566,5,2024-06-05 08:01:44
18280,1,2024-01-02 04:30:05
12354,1,2025-07-13 12:35:06
102098,3,2024-08-23 23:51:55
87465,1,2024-10-10 10:42:28
106762,4,2025-03-27 01:06:17
105360,3,2023-12-03 21:39:07
21453,4,2025-01-09 04:05:50
51501,3,2024-02-20 04:57:53
24116,4,2024-01-26 15:03:56
58343,2,2024-05-08 13:49:08
114230,3,2024-11-03 11:04:42
8338,2,2025-08-19 21:40:32
63944,2,2024-02-08 11:38:39
36655,3,2024-02-15 14:02:26
45276,2,2025-01-14 17:18:29
105880,2,2025-05-20 17:30:19
64096,3,2024-06-30 20:23:56
88165,4,2024-02-20 06:17:23
41159,4,2025-09-22 11:31:07
80426,4,2024-08-10 04:05:12
53836,3,2024-07-09 15:21:45
69329,4,2024-10-30 16:19:15
67019,3,2024-10-17 22:35:21
77160,4,2025-01-16 22:08:00
20938,2,2025-11-12 22:21:25
36528,5,2024-01-17 14:31:21
37746,3,2025-09-17 13:20:47
108851,1,2024-12-10 04:37:59
2842,3,2024-04-04 00:02:33
53320,2,2024-09-17 22:55:16
41275,1,2025-08-12 02:18:18
54169,5,2025-10-02 01:08:02
16989,5,2024-12-14 23:51:12
54894,3,2024-04-13 12:41:24
50211,5,2024-03-03 05:32:15
43753,1,2025-08-27 14:52:29
18743,1,2025-04-25 18:43:36
113557,4,2024-05-04 11:37:01
100391,2,2025-07-08 19:56:14
98395,4,2023-11-27 03:34:13
114795,4,2024-04-16 11:30:39
93188,4,2025-06-05 19:41:51
23505,5,2025-06-14 12:10:22
30333,3,2024-08-15 01:45:20
92033,1,2024-12-26 09:19:24
80464,4,2025-02-22 22:09:56
76587,2,2025-07-11 22:59:36
33739,3,2024-03-11 01:07:16
113571,2,2025-01-24 08:48:02
9562,2,2025-09-12 02:05:14
75436,1,2024-12-30 06:17:06
39474,4,2024-12-25 23:27:12
113860,3,2023-12-20 15:57:19
573,2,2025-07-27 17:49:42
19313,2,2025-01-01 06:39:14
38366,4,2024-08-21 20:18:06
60486,5,2025-01-06 04:06:44
112333,1,2024-05-11 03:18:26
37602,3,2025-05-05 23:18:30
64586,5,2024-12-30 12:02:11
60771,2,2024-03-22 16:24:39
48966,1,2024-08-31 00:34:02
113249,5,2024-03-16 11:12:42
38183,1,2024-01-30 22:36:36
60157,1,2025-04-25 15:25:07
26688,2,2024-03-21 19:34:15
85162,5,2025-03-21 07:25:54
69429,2,2025-03-20 20:20:43
12270,3,2025-09-11 07:43:06
59348,5,2025-03-08 07:41:27
89213,2,2024-05-07 21:38:47
101473,2,2025-08-30 03:00:41
25306,4,2025-11-06 00:27:12
84556,2,2025-06-19 13:29:52
90888,1,2025-05-23 08:42:39
74369,3,2024-03-11 06:20:19
41505,1,2025-01-07 05:32:44
94080,4,2025-03-01 16:53:26
63995,4,2024-10-08 12:07:38
100393,4,2025-09-10 19:40:59
1541,4,2024-04-19 05:06:36
25839,4,2024-06-17 10:03:06
82594,2,2023-12-22 03:41:24
87937,2,2024-09-20 12:42:45
111242,5,2024-07-01 10:59:42
55882,2,2024-09-11 21:47:06
570,1,2025-10-13 22:56:59
8830,2,2024-12-23 09:59:57
104042,2,2024-10-06 08:50:01
3548,1,2025-10-08 08:30:21
94378,5,2024-11-18 07:21:33
38297,5,2024-11-11 16:07:50
35183,2,2024-07-21 04:56:55
50817,3,2024-02-27 21:21:34
101350,5,2025-05-27 14:31:26
26679,2,2025-11-11 20:09:37
98663,2,2024-07-04 04:10:47
55426,4,2023-11-14 10:29:34
88565,5,2024-01-11 07:35:17
49942,1,2024-05-27 09:01:03
103545,5,2025-05-17 08:20:07
21809,5,2025-01-18 19:58:10
79332,4,2025-04-16 02:33:49
65375,1,2024-07-13 04:38:45
91399,2,2024-04-24 07:22:21
49964,1,2025-10-31 02:50:25
111650,3,2025-06-05 20:35:44
83902,3,2025-03-04 09:14:07
79507,3,2025-02-17 12:34:57
56999,5,2024-01-05 01:25:09
17444,1,2023-12-30 03:53:00
73701,3,2025-06-22 17:16:55
54960,3,2024-09-27 21:51:19
74483,1,2024-03-02 03:20:37
14907,2,2024-03-04 20:22:12
19081,3,2024-11-21 17:07:32
81479,3,2025-08-13 23:19:02
100087,1,2024-03-17 15:13:57
73915,2,2025-06-30 00:56:46
49048,1,2025-08-01 23:15:10
108118,1,2024-05-20 11:44:24
10151,1,2024-09-13 01:06:39
43490,3,2025-07-16 21:50:06
51316,1,2024-03-17 00:08:03
62285,3,2025-03-29 23:47:29
103165,5,2024-10-04 14:48:00
93769,1,2024-09-12 20:39:47
70896,1,2025-02-15 12:42:07
28409,5,2024-04-12 08:36:12
96174,5,2024-05-25 05:38:35
75639,1,2025-08-23 04:55:17
37466,3,2024-08-12 07:58:02
83632,1,2024-01-07 22:42:22
8029,3,2024-05-07 22:31:59
8053,3,2024-06-15 16:58:31
31719,1,2024-03-02 05:53:55
45688,4,2025-10-07 11:53:19
50458,5,2024-09-20 23:17:42
44556,1,2024-02-18 01:34:30
90061,2,2025-05-31 01:07:47
109267,3,2025-06-10 16:04:09
25026,5,2025-02-11 06:25:22
83140,1,2025-04-19 08:48:15
35972,5,2024-03-11 02:31:10
84637,2,2024-04-22 00:52:14
62563,3,2024-10-23 13:07:43
60042,3,2024-03-03 18:35:12
46172,5,2025-04-19 07:19:37
6546,2,2024-06-15 03:02:22
5514,5,2025-06-26 22:13:32
83777,1,2024-07-25 12:22:26
13515,4,2023-11-22 12:39:01
67676,3,2025-03-22 17:54:16
49996,3,2024-02-13 06:22:57
58639,1,2024-12-22 12:57:59
63840,4,2024-07-12 20:21:17
71948,3,2024-12-25 08:27:39
4731,1,2024-02-01 20:43:52
79718,1,2025-07-05 12:38:57
20286,4,2025-03-16 08:50:34
103588,1,2025-02-20 23:45:08
53058,5,2024-11-14 02:00:56
69091,5,2024-05-12 12:04:18
84652,2,2025-04-10 03:02:56
63404,1,2024-10-19 13:52:59
57139,1,2024-07-03 06:21:03
13986,3,2025-08-13 19:34:21
67628,4,2024-02-19 03:32:38
55613,5,2025-01-07 13:42:32
55365,1,2025-06-13 04:46:46
11166,5,2025-03-01 23:47:26
74880,4,2024-11-01 01:55:26
108345,4,2024-03-12 12:38:26
57481,3,2024-01-07 20:18:11
75910,5,2025-09-27 20:31:09
26472,2,2025-06-22 00:08:41
20950,4,2025-10-21 08:57:58
8608,4,2025-05-26 09:48:03
114005,1,2024-08-05 07:37:59
94296,3,2025-09-23 23:28:22
113356,1,2024-06-12 12:15:52
43626,5,2023-12-15 23:40:03
27182,3,2024-09-05 11:36:30
24851,3,2025-08-26 00:55:58
46733,5,2025-10-06 07:31:16
8779,5,2024-05-30 13:52:42
45584,4,2024-02-09 19:20:45
42881,4,2025-03-15 02:07:59
92483,2,2024-11-10 12:34:12
71491,3,2024-10-09 23:26:58
32364,3,2025-02-10 12:41:31
31381,2,2024-03-24 00:08:55
75826,5,2025-09-24 18:14:30
100987,5,2025-05-18 10:47:56
21378,3,2025-05-04 05:13:10
20870,4,2025-09-16 10:06:17
52453,2,2025-07-23 05:37:37
12356,4,2024-11-26 15:54:29
101814,4,2025-06-25 06:36:41
43929,5,2024-06-27 06:31:39
5678,1,2024-05-06 15:22:17
89302,3,2024-12-24 06:19:56
70704,3,2024-02-02 04:53:43
55748,4,2024-01-21 23:01:14
71835,4,2025-06-04 12:52:59
79267,2,2025-02-24 18:31:39
564,2,2025-02-21 10:56:46
847,2,2025-09-16 02:15:20
103376,5,2024-08-21 18:18:41
44692,2,2024-05-19 13:55:15
20656,4,2025-09-19 09:58:12
23432,4,2025-09-04 08:24:17
98822,4,2025-04-13 14:43:59
56361,5,2024-12-02 06:38:31
73424,2,2025-08-25 01:17:22
33430,3,2025-05-12 02:39:18
9127,3,2024-10-15 01:51:45
106301,1,2024-10-06 16:28:35
21576,3,2023-12-28 03:58:50
16487,5,2025-03-23 18:11:59
48578,3,2024-02-03 20:47:11
55899,1,2025-09-16 03:47:14
31268,1,2025-07-04 04:43:37
105355,5,2024-06-18 19:16:26
61226,2,2025-08-29 09:58:37
1004,5,2025-05-29 13:12:55
73965,4,2025-06-05 01:37:17
16393,1,2024-06-15 10:24:33
83744,4,2025-10-16 21:18:57
100339,2,2024-05-27 15:23:05
72820,2,2025-03-25 11:18:49
63411,4,2024-12-12 14:25:05
61492,4,2024-07-26 13:43:49
97898,1,2024-10-05 02:39:27
15843,5,2025-04-15 05:16:52
38338,2,2025-08-24 17:35:35
41818,2,2024-05-27 07:31:23
90872,4,2024-08-17 04:32:58
85521,5,2024-01-17 16:52:25
51110,2,2023-11-24 04:51:40
144,5,2024-01-31 17:07:09
8059,1,2025-05-21 00:58:00
58011,1,2025-08-01 04:40:17
19193,1,2024-11-25 07:11:09
6299,2,2024-05-20 16:58:52
93891,3,2025-02-11 03:42:30
18457,2,2024-12-02 14:55:26
38693,3,2024-05-04 02:52:30
64076,2,2025-02-15 06:30:49
88842,1,2024-10-16 01:54:16
45718,4,2025-04-14 04:06:55
111250,4,2024-06-07 13:55:04
61559,1,2024-02-02 21:57:27
99273,5,2025-07-12 17:20:27
109343,4,2025-08-16 22:31:09
15770,5,2025-05-17 11:50:26
76358,4,2024-11-27 02:18:26
14200,4,2025-01-22 15:33:41
47811,5,2025-02-27 08:30:06
56952,3,2025-08-25 14:23:33
101172,4,2025-01-26 11:49:25
52775,4,2024-09-01 01:44:14
53310,3,2025-02-27 08:15:48
5334,5,2024-12-21 06:08:35
79876,4,2025-09-20 05:12:40
68684,2,2025-11-01 19:40:56
